Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Carbon Monoxide,1A1b,Refineries - combustion,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04362774,0.016647427,0.004592394,0.005740492,0.006314541,0.006314541,0.005740492,0.005328868,0.005466008,0.038007366,0.047979402,0.037870226,0.048136133,0.058284492,0.061164431,0.073526621,0.081402374,0.092541579,0.103318819,0.130143243,0.127905007,0.113943062,0.176334387,0.196845348,0.184786137,0.109346385,0.182525006,0.179612217,0.230322489,0.183650587,0.248017357,0.219902461,0.167164701,0.18599451,0.1565527,0.215162243,0.228271712,0.248769493,0.23348892
Carbon Monoxide,1A1b,Refineries - combustion,OPG,kilotonne,1.426462454,1.693463182,1.634457496,1.74066773,1.715590314,1.482517855,1.71264003,1.677236618,1.703789177,1.591678374,1.444164159,1.259771391,1.343854494,1.364506484,1.370407052,1.43088788,1.65805977,1.632982354,1.795188984,1.878136227,1.9107525,1.862534475,1.841596376,1.963550735,1.89922648,2.031951879,2.147209351,2.025171411,1.921465186,1.8641437,1.596045406,1.235829661,1.504849093,1.374264583,1.543979325,1.540022015,1.717716581,1.402538543,1.509231495,2.461474531,1.965785789,2.088794827,1.352119309,1.774238572,1.277410253,1.039537649,1.27335355,1.170803005,1.191510725,1.240155172,1.294624029,1.354074009
Carbon Monoxide,1A1b,Refineries - combustion,Petrol,kilotonne,0.0058045,0.0058045,0.0058045,0.0058045,0.0058045,0.0058045,0.0058045,0.0058045,0.0058045,0.0058045,0,0,0.0058045,0,0.0058045,0,0,0,0,0,0,0,0,0,0,0,0.011609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1b,Refineries - combustion,Petroleum coke,kilotonne,0.854615117,0.932961565,1.032014388,1.117483242,1.085836269,1.041927011,1.135986808,1.096850297,1.180042918,1.319025751,1.224622318,1.274446352,1.610103004,2.013939914,2.31288412,2.323373391,2.346974249,2.409909871,2.603961373,2.645918455,2.559381974,2.735077253,2.745566524,2.805879828,2.485957082,3.007798283,2.929128755,3.102201717,3.123180258,3.055,1.8286,1.276,1.1503803,1.105,1.5,5.30905,2.433834397,2.238730828,1.55909882,3.129367004,2.023025225,1.646222561,1.83087071,1.946164289,2.39487295,4.230976904,3.296662083,2.842101125,2.677518488,1.324960893,1.565298363,1.31314
Carbon Monoxide,1A1c,Coke production,Blast furnace gas,kilotonne,0.351366301,0.272611786,0.172654131,0.130247853,0.136305893,0.106015694,0.148421972,0.157509032,0.154480012,0.166596091,0.054522357,0.078754516,0.087841575,0.106015694,0.087841575,0.096928635,0.099957655,0.106015694,0.121133232,0.127231236,0.120823164,0.109350648,0.101598948,0.10128888,0.107903664,0.110384208,0.115965432,0.117515772,0.11214126,0.111934548,0.109247292,0.067078044,0.052662983,0.044649792,0.030696732,0.029433722,0.055441192,0.072614825,0.066003142,0.052285733,0.075627652,0.067940033,0.069423192,0.077652396,0.073486116,0.066279102,0.065354066,0.058810598,0.062446662,0.057949642,0.055262386,0.05509805
Carbon Monoxide,1A1c,Coke production,Coke oven gas,kilotonne,1.207241983,1.250512305,1.144500016,1.339216465,1.146663532,1.218059563,1.19209737,1.070940469,0.910840277,0.958437632,0.78751986,0.679344055,0.642564281,0.62092912,0.486791122,0.646891313,0.629583185,0.616602088,0.579808534,0.553158307,0.568808856,0.519273393,0.451208271,0.405216328,0.41784012,0.39284676,0.46820268,0.46124964,0.5346324,0.49639068,0.5219478,0.4434912,0.401169737,0.41962536,0.40647096,0.40595512,0.402300076,0.397248786,0.408673382,0.365287352,0.362752312,0.360023713,0.358553239,0.342323528,0.349997242,0.299250385,0.147385656,0.14523961,0.14068255,0.145392764,0.099922702,0.104968354
Carbon Monoxide,1A1c,Coke production,Colliery methane,kilotonne,0.001749967,0.001249976,0.000499991,0.000499991,0.000499991,0.000749986,0.000749986,0.001249976,0.000999981,0.000749986,0.001249976,0.001749967,0.001499972,0.000999981,0.000249995,0.000999981,0.000249995,0.000249995,0.000247379,0.000247379,0.000247379,0.000247379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1c,Coke production,Natural gas,kilotonne,2.69E-05,5.40E-05,8.44E-05,8.95E-05,9.07E-05,8.58E-05,0.000101882,0.000113099,0.000104219,0.000125717,0.000105387,9.56E-05,8.53E-05,9.11E-05,0.00010492,0.00010492,9.79E-05,0.000108659,0.000104221,0.00010918,0.000108391,0.000100186,0.000110895,0.000124202,0.000162076,9.38E-05,0.000196197,0.000127955,5.97E-05,0.000110894,0.000145015,7.68E-05,0,8.53E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon Monoxide,1A1c,Collieries - combustion,Coal,kilotonne,48.8198711,41.10481375,35.94457867,35.94457867,30.83493413,30.354324,27.79950173,27.79950173,25.29527,20.21092073,15.8086593,15.58188632,13.50767418,12.29350122,5.28671143,8.39802964,7.74035262,5.94438845,4.95787292,3.69310942,2.9628144,2.7736352,1.963390555,1.19294616,0.54871278,0.19953192,0.1981168,0.19670168,0.1308986,0.25914385,0.314095475,0.263576648,0.23644363,0.159608117,0.211246604,0.151574488,0.099879602,0.121437421,0.138736968,0.125763576,0.127308199,0.096918217,0.098200204,0.066663324,0.015640241,0,0,0,0,0,0,0
Carbon Monoxide,1A1c,Collieries - combustion,Coke oven gas,kilotonne,0.00826112,0.019275946,0.01652224,0.030290773,0.027537066,0.033044479,0.033044479,0.019275946,0.005507413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
