Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,OPG,kilotonne,6.465276739,7.67542678,7.407990307,7.889375959,7.775715457,6.719341388,7.762343634,7.60188175,7.722228163,7.214098864,6.545507681,5.709768702,6.090865677,6.184468442,6.211212089,6.485334474,7.514964896,7.401304395,8.13648726,8.512436082,8.660265584,7.453932711,7.370137656,6.569641759,6.504004259,6.265231793,6.327540753,5.544583742,5.953265693,5.509714233,5.159541762,4.923862359,4.775822628,3.593591237,4.60861463,4.335144686,6.665462459,6.428144321,8.424105003,9.569117702,6.464399331,6.957761227,4.43527623,4.499757821,3.852066427,3.66461108,5.4062543,5.034465498,4.669686011,4.795180817,4.916837553,5.385712715
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Petrol,kilotonne,0.029898263,0.029898263,0.029898263,0.029898263,0.029898263,0.029898263,0.029898263,0.029898263,0.029898263,0.029898263,0,0,0.029898263,0,0.029898263,0,0,0,0,0,0,0,0,0,0,0,0.059796526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1b,Refineries - combustion,Petroleum coke,kilotonne,2.29249456,2.502657945,2.768365928,2.99763508,2.912742463,2.794956417,3.047270668,2.942287457,3.165450644,3.538270386,3.285034335,3.418686695,4.319081545,5.402369099,6.204283262,6.232420601,6.295729614,6.464553648,6.985094421,7.097643777,6.86551073,7.336811159,7.364948498,7.526738197,6.668549356,8.068381974,7.857351931,8.321618026,8.377892704,8.195,8.07,7.883,11.705,8.155,10.391,11.213,9.410193622,9.655662314,8.858421628,8.35336917,7.378882226,8.207028113,8.41589526,6.312455657,5.558808769,5.597733316,6.491152628,6.185365578,5.512218422,4.924748212,4.059067939,3.808529459
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Blast furnace gas,kilotonne,0.896589873,0.695630074,0.440565713,0.332356591,0.347815037,0.270522806,0.378731929,0.401919598,0.394190375,0.425107267,0.139126015,0.200959799,0.224147468,0.270522806,0.224147468,0.247335137,0.25506436,0.270522806,0.309098592,0.324659016,0.308307384,0.279032688,0.259252488,0.25846128,0.275340384,0.281670048,0.295911792,0.299867832,0.28615356,0.285626088,0.278768952,0.171164664,0.134381404,0.113933952,0.078329592,0.075106738,0.141470628,0.185293002,0.16842181,0.133418768,0.192980906,0.173364222,0.177148834,0.198147494,0.187516296,0.169125985,0.166765548,0.150068421,0.159346654,0.1478715,0.141014364,0.140595024
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Coke oven gas,kilotonne,11.75590295,12.17726147,11.14493308,13.04104646,11.16600101,11.86124258,11.60842746,10.42862358,8.869597025,9.333091406,7.668725219,6.615328897,6.257174148,6.046494884,4.740283446,6.299310001,6.13076659,6.004359031,5.646070091,5.386555029,5.538957226,5.056589893,4.39378411,3.945922935,7.415770398,7.024644615,6.829577049,7.18526489,7.717083044,7.323467605,7.1454628,8.255934249,5.244175676,5.325232884,5.484596708,4.277001362,5.099752032,6.346744983,5.664069187,5.004320732,5.153058761,4.64143975,3.782096818,5.220949997,5.063174555,3.701735906,2.270028286,2.304803277,2.138853455,2.129550561,2.218514703,2.06583073
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Colliery methane,kilotonne,0.049185965,0.035132832,0.014053133,0.014053133,0.014053133,0.021079699,0.021079699,0.035132832,0.028106266,0.021079699,0.035132832,0.049185965,0.042159398,0.028106266,0.007026566,0.028106266,0.007026566,0.007026566,0.00695304,0.00695304,0.00695304,0.00695304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1c,Coke production,Natural gas,kilotonne,0.000757588,0.001521763,0.002378166,0.002523096,0.002556035,0.002417693,0.002872245,0.003188456,0.002938123,0.003544193,0.002971061,0.002694377,0.002404517,0.00256921,0.002957886,0.002957886,0.002760254,0.003063289,0.002938174,0.00307799,0.003055736,0.002824432,0.003126319,0.003501486,0.004569218,0.002645337,0.005531159,0.003607278,0.001683396,0.003126307,0.004088248,0.002164367,0,0.000240485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1c,Collieries - combustion,Coal,kilotonne,9.0717913,7.63816625,6.67928261,6.67928261,5.72979979,5.640492,5.16575059,5.16575059,4.70041,3.75562759,2.9375919,2.89545256,2.51001894,2.28439926,0.98238569,1.56053612,1.43832546,1.10459635,0.92128036,0.68625986,0.5505552,0.5154016,0.364840565,0.22167528,0.10196274,0.03707736,0.0368144,0.03655144,0.0243238,0.04815455,0.058365754,0.04897826,0.043936357,0.029658651,0.039254202,0.028165829,0.018559797,0.022565708,0.025780339,0.023369601,0.023656626,0.018009508,0.018247729,0.012387492,0.002906296,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1c,Collieries - combustion,Coke oven gas,kilotonne,0.021080099,0.049186897,0.042160198,0.077293696,0.070266996,0.084320395,0.084320395,0.049186897,0.014053399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrogen oxides (NOx expressed as NO2),1A1c,Collieries - combustion,Colliery methane,kilotonne,0.252970099,0.210808415,0.161619785,0.203781468,0.189727574,0.203781468,0.210808415,0.245943151,0.210808415,0.217835363,0.22486231,0.210808415,0.210808415,0.217835363,0.070269472,0.161619785,0.147565891,0.147565891,0.154592838,0.154592838,0.16159824,0.12659328,0.12803184,0.13882104,0.16711272,0.09758232,0.08775216,0.07864128,0.07048944,0.07936056,0.08823168,0.14985,0.14433552,0.2013984,0.1786212,0.16831152,0.16951032,0.16231752,0.169385645,0.165590244,0.19276704,0.157026017,0.122649228,0.10021968,0.09062928,0.08223768,0.10405584,0.094918586,0.09134856,0.084568147,0.06791202,0.071333395
